"","facility_source_affected","plant_name","utility_name","street_address","city","state","zip","prim_source","latitude","longitude"
"21","Grant Town Power Plant Boiler #1A and Boiler #1B","Grant Town Power Plant","American Bituminous Power LP","228 ABPP Drive","Grant Town","West Virginia",26574,"coal",39.561831,-80.163138
"22","Harrison Power Station","FirstEnergy Harrison Power Station","Monongahela Power Co","PO Box 600","Haywood","West Virginia",26366,"coal",39.384167,-80.3325
"23","Healy Power Plant Unit 1 and Unit 2","Healy","Golden Valley Elec Assn Inc","2.5 Mile Healy Spur Road","Healy","Alaska",99743,"coal",63.8542,-148.95
"24","Holcomb Station","Holcomb","Sunflower Electric Power Corp","2440 Holcomb Lane","Holcomb","Kansas",67851,"coal",37.9308,-100.9725
"25","Hugo Generating Station HU-UNIT 1","Hugo","Western Farmers Elec Coop, Inc","3 Miles West on Hyw. 70","Fort Towson","Oklahoma",74735,"coal",34.0158,-95.3206
"26","John B. Rich Memorial Power Station CFB Boiler 1 (CU031) and CFB Boiler 2 (CU032)","John B Rich Memorial Power Station","Gilberton Power Co","81 Eleanor Avenue","Frackville","Pennsylvania",17931,"coal",40.7903,-76.1983
"27","John Twitty Energy Center","John Twitty Energy Center","City Utilities of Springfield - (MO)","5100 W Farm Road 164","Springfield","Missouri",65807,"coal",37.151706,-93.38804
"28","Keystone Station Unit 1 and Unit 2","Keystone","KeyCon Operating LLC","313 Keystone Drive","Shelocta","Pennsylvania",15774,"coal",40.6604,-79.3411
"29","Kincaid Power Plant Unit 1 and Unit 2","Kincaid Generation LLC","Dynegy Kincaid Generation","4 Miles West of Kincaid Rt 104","Kincaid","Illinois",62540,"coal",39.590556,-89.496389
"30","Kingston Fossil Plant","Kingston","Tennessee Valley Authority","Swan Pond Rd. PO Box 2000","Kingston","Tennessee",37763,"coal",35.8992,-84.5194
"31","Labadie Energy Center","Labadie","Union Electric Co - (MO)","226 Labadie Power Plant Road","Labadie","Missouri",63055,"coal",38.562244,-90.837686
"32","Laramie River Station Units 1, 2, and 3","Laramie River Station","Basin Electric Power Coop","Hwy 320","Wheatland","Wyoming",82201,"coal",42.108889,-104.8825
"33","Leland Olds Station Units 1 and 2","Leland Olds","Basin Electric Power Coop","Hwy 200","Stanton","North Dakota",58571,"coal",47.280769,-101.321213
